Wavelength,DY415,DY490,AT520,AT550,TRX,AT620,AT655
420,0.013314685,0,0,0,0,0,0
420.1,0.013586926,0,0,0,0,0,0
420.2,0.013859166,0,0,0,0,0,0
420.3,0.014131407,0,0,0,0,0,0
420.4,0.014403648,0,0,0,0,0,0
420.5,0.014675888,0,0,0,0,0,0
420.6,0.014948129,0,0,0,0,0,0
420.7,0.01522037,0,0,0,0,0,0
420.8,0.01549261,0,0,0,0,0,0
420.9,0.015764851,0,0,0,0,0,0
421,0.016037092,0,0,0,0,0,0
421.1,0.016309333,0,0,0,0,0,0
421.2,0.016581573,0,0,0,0,0,0
421.3,0.016853814,0,0,0,0,0,0
421.4,0.017126055,0,0,0,0,0,0
421.5,0.017398295,0,0,0,0,0,0
421.6,0.017670536,0,0,0,0,0,0
421.7,0.017942777,0,0,0,0,0,0
421.8,0.018215017,0,0,0,0,0,0
421.9,0.018487258,0,0,0,0,0,0
422,0.018759499,0,0,0,0,0,0
422.1,0.019031739,0,0,0,0,0,0
422.2,0.01930398,0,0,0,0,0,0
422.3,0.019576221,0,0,0,0,0,0
422.4,0.019848461,0,0,0,0,0,0
422.5,0.020120702,0,0,0,0,0,0
422.6,0.020392943,0,0,0,0,0,0
422.7,0.020665183,0,0,0,0,0,0
422.8,0.020937424,0,0,0,0,0,0
422.9,0.021209665,0,0,0,0,0,0
423,0.021481905,0,0,0,0,0,0
423.1,0.021754146,0,0,0,0,0,0
423.2,0.022026387,0,0,0,0,0,0
423.3,0.022298628,0,0,0,0,0,0
423.4,0.022570868,0,0,0,0,0,0
423.5,0.022843109,0,0,0,0,0,0
423.6,0.02311535,0,0,0,0,0,0
423.7,0.02338759,0,0,0,0,0,0
423.8,0.023659831,0,0,0,0,0,0
423.9,0.023932072,0,0,0,0,0,0
424,0.024204312,0,0,0,0,0,0
424.1,0.024476553,0,0,0,0,0,0
424.2,0.024748794,0,0,0,0,0,0
424.3,0.025021034,0,0,0,0,0,0
424.4,0.025293275,0,0,0,0,0,0
424.5,0.025565516,0,0,0,0,0,0
424.6,0.025837756,0,0,0,0,0,0
424.7,0.026109997,0,0,0,0,0,0
424.8,0.026382238,0,0,0,0,0,0
424.9,0.026654478,0,0,0,0,0,0
425,0.026926719,0,0,0,0,0,0
425.1,0.02719896,0,0,0,0,0,0
425.2,0.0274712,0,0,0,0,0,0
425.3,0.027743441,0,0,0,0,0,0
425.4,0.028015682,0,0,0,0,0,0
425.5,0.028287923,0,0,0,0,0,0
425.6,0.028560163,0,0,0,0,0,0
425.7,0.028832404,0,0,0,0,0,0
425.8,0.029104645,0,0,0,0,0,0
425.9,0.029376885,0,0,0,0,0,0
426,0.029649126,0,0,0,0,0,0
426.1,0.029921367,0,0,0,0,0,0
426.2,0.030193607,0,0,0,0,0,0
426.3,0.030465848,0,0,0,0,0,0
426.4,0.030738089,0,0,0,0,0,0
426.5,0.031010329,0,0,0,0,0,0
426.6,0.03128257,0,0,0,0,0,0
426.7,0.031554811,0,0,0,0,0,0
426.8,0.031827051,0,0,0,0,0,0
426.9,0.032099292,0,0,0,0,0,0
427,0.032371533,0,0,0,0,0,0
427.1,0.032643773,0,0,0,0,0,0
427.2,0.032916014,0,0,0,0,0,0
427.3,0.033188255,0,0,0,0,0,0
427.4,0.033460495,0,0,0,0,0,0
427.5,0.033732736,0,0,0,0,0,0
427.6,0.034004977,0,0,0,0,0,0
427.7,0.034277217,0,0,0,0,0,0
427.8,0.034549458,0,0,0,0,0,0
427.9,0.034821699,0,0,0,0,0,0
428,0.03509394,0,0,0,0,0,0
428.1,0.03536618,0,0,0,0,0,0
428.2,0.035638421,0,0,0,0,0,0
428.3,0.035910662,0,0,0,0,0,0
428.4,0.036182902,0,0,0,0,0,0
428.5,0.036455143,0,0,0,0,0,0
428.6,0.036727384,0,0,0,0,0,0
428.7,0.036999624,0,0,0,0,0,0
428.8,0.037271865,0,0,0,0,0,0
428.9,0.037544106,0,0,0,0,0,0
429,0.037816346,0,0,0,0,0,0
429.1,0.038088587,0,0,0,0,0,0
429.2,0.038360828,0,0,0,0,0,0
429.3,0.038633068,0,0,0,0,0,0
429.4,0.038905309,0,0,0,0,0,0
429.5,0.03917755,0,0,0,0,0,0
429.6,0.03944979,0,0,0,0,0,0
429.7,0.039722031,0,0,0,0,0,0
429.8,0.039994272,0,0,0,0,0,0
429.9,0.040266512,0,0,0,0,0,0
430,0.040538753,0,0,0,0,0,0
430.1,0.040810994,0,0,0,0,0,0
430.2,0.041083235,0,0,0,0,0,0
430.3,0.041355475,0,0,0,0,0,0
430.4,0.041627716,0,0,0,0,0,0
430.5,0.041899957,0,0,0,0,0,0
430.6,0.042172197,0,0,0,0,0,0
430.7,0.042444438,0,0,0,0,0,0
430.8,0.043746206,0,0,0,0,0,0
430.9,0.045219761,0,0,0,0,0,0
431,0.046693317,0,0,0,0,0,0
431.1,0.048166873,0,0,0,0,0,0
431.2,0.049640429,0,0,0,0,0,0
431.3,0.051113984,0,0,0,0,0,0
431.4,0.05258754,0,0,0,0,0,0
431.5,0.054061096,0,0,0,0,0,0
431.6,0.055534651,0,0,0,0,0,0
431.7,0.057008207,0,0,0,0,0,0
431.8,0.058481763,0,0,0,0,0,0
431.9,0.059955319,0,0,0,0,0,0
432,0.061428874,0,0,0,0,0,0
432.1,0.06290243,0,0,0,0,0,0
432.2,0.064375986,0,0,0,0,0,0
432.3,0.065849542,0,0,0,0,0,0
432.4,0.067323097,0,0,0,0,0,0
432.5,0.068796653,0,0,0,0,0,0
432.6,0.070270209,0,0,0,0,0,0
432.7,0.071743765,0,0,0,0,0,0
432.8,0.07321732,0,0,0,0,0,0
432.9,0.074690876,0,0,0,0,0,0
433,0.076164432,0,0,0,0,0,0
433.1,0.077637987,0,0,0,0,0,0
433.2,0.079111543,0,0,0,0,0,0
433.3,0.080585099,0,0,0,0,0,0
433.4,0.082058655,0,0,0,0,0,0
433.5,0.08353221,0,0,0,0,0,0
433.6,0.085005766,0,0,0,0,0,0
433.7,0.086479322,0,0,0,0,0,0
433.8,0.087952878,0,0,0,0,0,0
433.9,0.089426433,0,0,0,0,0,0
434,0.090899989,0,0,0,0,0,0
434.1,0.092373545,0,0,0,0,0,0
434.2,0.093847101,0,0,0,0,0,0
434.3,0.095320656,0,0,0,0,0,0
434.4,0.096794212,0,0,0,0,0,0
434.5,0.098267768,0,0,0,0,0,0
434.6,0.099741324,0,0,0,0,0,0
434.7,0.10121488,0,0,0,0,0,0
434.8,0.10268843,0,0,0,0,0,0
434.9,0.10416199,0,0,0,0,0,0
435,0.10563555,0,0,0,0,0,0
435.1,0.1071091,0,0,0,0,0,0
435.2,0.10858266,0,0,0,0,0,0
435.3,0.11005621,0,0,0,0,0,0
435.4,0.11152977,0,0,0,0,0,0
435.5,0.11300333,0,0,0,0,0,0
435.6,0.11447688,0,0,0,0,0,0
435.7,0.11595044,0,0,0,0,0,0
435.8,0.11742399,0,0,0,0,0,0
435.9,0.11889755,0,0,0,0,0,0
436,0.1203711,0,0,0,0,0,0
436.1,0.12184466,0,0,0,0,0,0
436.2,0.12331822,0,0,0,0,0,0
436.3,0.12479177,0,0,0,0,0,0
436.4,0.12626533,0,0,0,0,0,0
436.5,0.12773888,0,0,0,0,0,0
436.6,0.12921244,0,0,0,0,0,0
436.7,0.13068599,0,0,0,0,0,0
436.8,0.13215955,0,0,0,0,0,0
436.9,0.13363311,0,0,0,0,0,0
437,0.13510666,0,0,0,0,0,0
437.1,0.13658022,0,0,0,0,0,0
437.2,0.13805377,0,0,0,0,0,0
437.3,0.13952733,0,0,0,0,0,0
437.4,0.14100088,0,0,0,0,0,0
437.5,0.14247444,0,0,0,0,0,0
437.6,0.14406498,0,0,0,0,0,0
437.7,0.14663183,0,0,0,0,0,0
437.8,0.14919867,0,0,0,0,0,0
437.9,0.15176552,0,0,0,0,0,0
438,0.15433237,0,0,0,0,0,0
438.1,0.15689922,0,0,0,0,0,0
438.2,0.15946606,0,0,0,0,0,0
438.3,0.16203291,0,0,0,0,0,0
438.4,0.16459976,0,0,0,0,0,0
438.5,0.16716661,0,0,0,0,0,0
438.6,0.16973345,0,0,0,0,0,0
438.7,0.1723003,0,0,0,0,0,0
438.8,0.17486715,0,0,0,0,0,0
438.9,0.177434,0,0,0,0,0,0
439,0.18000084,0,0,0,0,0,0
439.1,0.18256769,0,0,0,0,0,0
439.2,0.18513454,0,0,0,0,0,0
439.3,0.18770139,0,0,0,0,0,0
439.4,0.19026823,0,0,0,0,0,0
439.5,0.19283508,0,0,0,0,0,0
439.6,0.19540193,0,0,0,0,0,0
439.7,0.19796878,0,0,0,0,0,0
439.8,0.20053562,0,0,0,0,0,0
439.9,0.20310247,0,0,0,0,0,0
440,0.20566932,0,0,0,0,0,0
440.1,0.20823617,0,0,0,0,0,0
440.2,0.21080301,0,0,0,0,0,0
440.3,0.21336986,0,0,0,0,0,0
440.4,0.21593671,0,0,0,0,0,0
440.5,0.21850356,0,0,0,0,0,0
440.6,0.2210704,0,0,0,0,0,0
440.7,0.22363725,0,0,0,0,0,0
440.8,0.2262041,0,0,0,0,0,0
440.9,0.22877095,0,0,0,0,0,0
441,0.23133779,0,0,0,0,0,0
441.1,0.23390464,0,0,0,0,0,0
441.2,0.23647149,0,0,0,0,0,0
441.3,0.23903834,0,0,0,0,0,0
441.4,0.24160518,0,0,0,0,0,0
441.5,0.24417203,0,0,0,0,0,0
441.6,0.24673888,0,0,0,0,0,0
441.7,0.24930573,0,0,0,0,0,0
441.8,0.25187257,0,0,0,0,0,0
441.9,0.25443942,0,0,0,0,0,0
442,0.25700627,0,0,0,0,0,0
442.1,0.25957312,0,0,0,0,0,0
442.2,0.26213996,0,0,0,0,0,0
442.3,0.26470681,0,0,0,0,0,0
442.4,0.26727366,0,0,0,0,0,0
442.5,0.26984051,0,0,0,0,0,0
442.6,0.27240735,0,0,0,0,0,0
442.7,0.2749742,0,0,0,0,0,0
442.8,0.27754105,0,0,0,0,0,0
442.9,0.2801079,0,0,0,0,0,0
443,0.28267474,0,0,0,0,0,0
443.1,0.28524159,0,0,0,0,0,0
443.2,0.28780844,0,0,0,0,0,0
443.3,0.29037528,0,0,0,0,0,0
443.4,0.29294213,0,0,0,0,0,0
443.5,0.29550898,0,0,0,0,0,0
443.6,0.29807583,0,0,0,0,0,0
443.7,0.30064267,0,0,0,0,0,0
443.8,0.30320952,0,0,0,0,0,0
443.9,0.30577637,0,0,0,0,0,0
444,0.30834322,0,0,0,0,0,0
444.1,0.31091006,0,0,0,0,0,0
444.2,0.31347691,0,0,0,0,0,0
444.3,0.31604376,0,0,0,0,0,0
444.4,0.31861061,0,0,0,0,0,0
444.5,0.32148858,0,0,0,0,0,0
444.6,0.32492693,0,0,0,0,0,0
444.7,0.32836527,0,0,0,0,0,0
444.8,0.33180362,0,0,0,0,0,0
444.9,0.33524197,0,0,0,0,0,0
445,0.33868032,0,0,0,0,0,0
