Wavelength,DY-415,DY-490,ATTO 520,ATTO 550,TRX,ATTO 620,ATTO 655
415,0,0,0,0,0,0,0
424,0.024204312,0,0,0,0,0,0
432,0.061428874,0,0,0,0,0,0
441,0.23133779,0,0,0,0,0,0
450,0.51059767,0,0,0,0,0,0
459,0.89520613,0,0,0,0,0,0
468,0.99778164,0,0,0,0,0,0
477,0.88395658,0.0067,0,0,0,0,0
504,0.34291475,0.656,0.02,0,0,0,0
513,0.23991296,0.9841,0.108,0,0,0,0
522,0.16161078,0.9082,0.399,1.00E-22,0,0,0
531,0.11260746,0.6522,0.859,0.003,0,0,0
540,0.082610243,0.4398,0.988,0.016,0,0,0
549,0.057778461,0.3057,0.769,0.099,0,0,0
575,0.016399395,0.1005,0.287,0.998,0.01846,0,0
584,0.01041022,0.0627,0.224,0.876,0.07842,0.001,0
593,0,0.0398,0.163,0.643,0.29342,0.005,0
602,0,0.0267,0.11,0.451,0.70124,0.022,0
611,0,0.0184,0.073,0.35,0.98264,0.097,0.001
620,0,0.0129,0.049,0.295,0.8953,0.319,0.002
647,0,0.0039,0.017,0.141,0.30631,0.976,0.052
656,0,0.0025,0.011,0.101,0.24443,0.821,0.159
665,0,0.0015,0.008,0.073,0.21379,0.637,0.431
674,0,0.0009,0.006,0.055,0.2005,0.5,0.803
682,0,0.0005,0.004,0.045,0.17059,0.427,0.996
691,0,0.0002,0.003,0.035,0.1283,0.362,0.93
